stockName,OpenPrice,HighPrice,LowPrice,date
ONGC,135.00,136.60,132.20,21-Feb-2022
TECHM,1021.25,1051.70,1017.25,21-Jul-2022
TCS,3107.80,3171.95,3098.05,14-Jul-2022
HCLTECH,904.60,918.80,895.10,19-Jul-2022
RELIANCE,2540.00,2542.50,2486.25,11-Jun-2021
CIPLA,965.70,982.95,958.85,09-Aug-2021
APOLLOHOSP,4090.00,4141.70,4030.05,18-Aug-2022
SBIN,501.00,510.60,500.40,25-May-2022
INFY,1501.25,1525.80,1500.00,31-May-2022
HINDUNILVR,2575.00,2618.00,2535.60,15-Jun-2022
WIPRO,410.80,417.50,407.10,14-Jul-2022
TITAN,2280.00,2298.00,2261.10,08-Jul-2022
NESTLEIND,18550.00,18660.00,18250.00,21-Apr-2022
HDFCBANK,1359.90,1371.10,1355.25,12-May-2022
INDUSINDBK,886.00,897.45,872.80,17-Aug-2021
ITC,294.90,299.50,293.60,26-May-2022
BRITANNIA,3805.00,3849.00,3793.85,20-Jun-2022
SBILIFE,1175.00,1199.00,1163.50,29-Mar-2022
TATAMOTORS,454.35,460.75,451.75,18-Jul-2016
TATACONSUM,791.00,801.20,787.50,09-Jun-2022
